id,id_disputa,date,HAHA,LIKE,LOVE,SUPPORT,WOW,SORRY,ANGER
13045,3,"2020-08-31 00:29:44",458,3,1,1,2,1,1398
13046,3,"2020-08-31 00:30:00",458,3,1,1,2,1,1398
13047,3,"2020-08-31 00:30:14",458,3,1,1,2,1,1398
13048,3,"2020-08-31 00:30:29",459,3,1,1,2,1,1399
13049,3,"2020-08-31 00:30:44",459,3,1,1,2,1,1400
13050,3,"2020-08-31 00:30:59",459,3,1,1,2,1,1400
13051,3,"2020-08-31 00:31:14",459,3,1,1,2,1,1400
13052,3,"2020-08-31 00:31:29",459,3,1,1,2,1,1400
13053,3,"2020-08-31 00:31:44",459,3,1,1,2,1,1400
13054,3,"2020-08-31 00:31:59",459,3,1,1,2,1,1400
13055,3,"2020-08-31 00:32:14",459,3,1,1,2,1,1402
13056,3,"2020-08-31 00:32:29",459,3,1,1,2,2,1403
13057,3,"2020-08-31 00:32:44",459,3,1,1,2,2,1403
13058,3,"2020-08-31 00:32:59",460,3,1,1,2,2,1403
13059,3,"2020-08-31 00:33:14",460,3,1,1,2,2,1404
13060,3,"2020-08-31 00:33:29",461,3,1,1,2,2,1406
13061,3,"2020-08-31 00:33:44",461,3,1,1,2,2,1406
13062,3,"2020-08-31 00:33:59",461,3,1,1,2,2,1406
13063,3,"2020-08-31 00:34:14",461,3,1,1,2,2,1406
13064,3,"2020-08-31 00:34:29",462,3,1,1,2,2,1406
13065,3,"2020-08-31 00:34:44",462,3,1,1,2,2,1406
13066,3,"2020-08-31 00:34:59",462,3,1,1,2,2,1406
13067,3,"2020-08-31 00:35:14",462,3,1,1,2,2,1407
13068,3,"2020-08-31 00:35:29",462,3,1,1,2,2,1407
13069,3,"2020-08-31 00:35:44",462,3,1,1,2,2,1407
13070,3,"2020-08-31 00:35:59",462,3,1,1,2,2,1407
13071,3,"2020-08-31 00:36:14",462,3,1,1,2,2,1409
13072,3,"2020-08-31 00:36:29",462,3,1,1,2,2,1410
13073,3,"2020-08-31 00:36:44",462,3,1,1,2,2,1411
13074,3,"2020-08-31 00:36:59",462,3,1,1,2,2,1411
13075,3,"2020-08-31 00:37:14",462,3,1,1,2,2,1413
13076,3,"2020-08-31 00:37:29",462,3,1,1,2,2,1413
13077,3,"2020-08-31 00:37:44",462,3,1,1,2,2,1413
13078,3,"2020-08-31 00:37:59",462,3,1,1,2,2,1414
13079,3,"2020-08-31 00:38:14",462,3,1,1,2,2,1414
13080,3,"2020-08-31 00:38:29",462,3,1,1,2,2,1414
13081,3,"2020-08-31 00:38:44",463,3,1,1,2,2,1417
13082,3,"2020-08-31 00:38:59",463,3,1,1,2,2,1417
13083,3,"2020-08-31 00:39:14",463,3,1,1,2,2,1417
13084,3,"2020-08-31 00:39:29",463,3,1,1,2,2,1418
13085,3,"2020-08-31 00:39:44",463,3,1,1,2,2,1418
13086,3,"2020-08-31 00:40:00",463,3,1,1,2,2,1420
13087,3,"2020-08-31 00:40:14",463,3,1,1,2,2,1420
13088,3,"2020-08-31 00:40:29",463,3,1,1,2,2,1420
13089,3,"2020-08-31 00:40:44",463,3,1,1,2,2,1423
13090,3,"2020-08-31 00:41:00",463,3,1,1,2,2,1425
13091,3,"2020-08-31 00:41:14",463,3,1,1,2,2,1425
13092,3,"2020-08-31 00:41:29",463,3,1,1,2,2,1426
13093,3,"2020-08-31 00:41:44",463,3,1,1,2,2,1427
13094,3,"2020-08-31 00:41:59",463,3,1,1,2,2,1427
13095,3,"2020-08-31 00:42:14",463,3,1,1,2,2,1428
13096,3,"2020-08-31 00:42:29",463,3,1,1,2,2,1430
13097,3,"2020-08-31 00:42:45",463,3,1,1,2,2,1430
13098,3,"2020-08-31 00:43:00",463,3,1,1,2,2,1431
13099,3,"2020-08-31 00:43:15",463,3,1,1,2,2,1431
13100,3,"2020-08-31 00:43:30",463,3,1,1,2,2,1431
13101,3,"2020-08-31 00:43:45",464,3,1,1,2,2,1431
13102,3,"2020-08-31 00:44:00",464,3,1,1,2,2,1431
13103,3,"2020-08-31 00:44:15",464,3,1,1,2,2,1431
13104,3,"2020-08-31 00:44:30",464,3,1,1,2,2,1432
13105,3,"2020-08-31 00:44:45",464,3,1,1,2,2,1432
13106,3,"2020-08-31 00:45:00",464,3,1,1,2,2,1432
13107,3,"2020-08-31 00:45:15",464,3,1,1,2,2,1432
13108,3,"2020-08-31 00:45:30",464,3,1,1,2,2,1433
13109,3,"2020-08-31 00:45:45",465,3,1,1,2,2,1433
13110,3,"2020-08-31 00:46:00",465,3,1,1,2,2,1433
13111,3,"2020-08-31 00:46:15",466,3,1,1,2,2,1434
13112,3,"2020-08-31 00:46:30",467,3,1,1,2,2,1436
13113,3,"2020-08-31 00:46:57",466,3,1,1,2,2,1437
13114,3,"2020-08-31 00:47:00",466,3,1,1,2,2,1437
13115,3,"2020-08-31 00:47:15",466,3,1,1,2,2,1438
13116,3,"2020-08-31 00:47:30",466,3,1,1,2,2,1438
13117,3,"2020-08-31 00:47:45",467,3,1,1,2,2,1438
13118,3,"2020-08-31 00:48:00",467,3,1,1,2,2,1438
13119,3,"2020-08-31 00:48:15",468,3,1,1,2,2,1438
13120,3,"2020-08-31 00:48:30",468,3,1,1,2,2,1438
13121,3,"2020-08-31 00:48:45",468,3,1,1,2,2,1439
13122,3,"2020-08-31 00:49:00",468,3,1,1,2,2,1440
13123,3,"2020-08-31 00:49:15",468,3,1,1,2,2,1440
13124,3,"2020-08-31 00:49:30",468,3,1,1,2,2,1440
13125,3,"2020-08-31 00:49:45",468,3,1,1,2,2,1441
13126,3,"2020-08-31 00:50:00",468,3,1,1,2,2,1441
13127,3,"2020-08-31 00:50:15",468,3,1,1,2,2,1441
13128,3,"2020-08-31 00:50:30",468,3,1,1,2,2,1441
13129,3,"2020-08-31 00:50:45",468,3,1,1,2,2,1441
13130,3,"2020-08-31 00:51:00",468,3,1,1,2,2,1441
13131,3,"2020-08-31 00:51:15",468,3,1,1,2,2,1442
13132,3,"2020-08-31 00:51:30",468,3,1,1,2,2,1442
13133,3,"2020-08-31 00:51:45",468,3,1,1,2,2,1442
13134,3,"2020-08-31 00:52:00",469,3,1,1,2,2,1443
13135,3,"2020-08-31 00:52:15",469,3,1,1,2,2,1444
13136,3,"2020-08-31 00:52:30",469,3,1,1,2,2,1444
13137,3,"2020-08-31 00:52:45",469,3,1,1,2,2,1444
13138,3,"2020-08-31 00:53:00",469,3,1,1,2,2,1445
13139,3,"2020-08-31 00:53:15",469,3,1,1,2,2,1445
13140,3,"2020-08-31 00:53:30",469,3,1,1,2,2,1445
13141,3,"2020-08-31 00:53:45",469,3,1,1,2,2,1445
13142,3,"2020-08-31 00:54:00",470,3,1,1,2,2,1445
13143,3,"2020-08-31 00:54:15",470,3,1,1,2,2,1445
13144,3,"2020-08-31 00:54:30",470,3,1,1,2,2,1445
13145,3,"2020-08-31 00:54:45",470,3,1,1,2,2,1445
13146,3,"2020-08-31 00:55:01",470,3,1,1,2,2,1446
13147,3,"2020-08-31 00:55:15",470,3,1,1,2,2,1446
