date,HAHA,LIKE,LOVE,SUPPORT,WOW,SORRY,ANGER
2020-08-31 06:33:41,528,4,1,1,2,3,1627
2020-08-31 06:33:56,528,4,1,1,2,3,1627
2020-08-31 06:34:11,528,4,1,1,2,3,1627
2020-08-31 06:34:27,528,4,1,1,2,3,1628
2020-08-31 06:34:42,528,4,1,1,2,3,1628
2020-08-31 06:34:57,528,4,1,1,2,3,1628
2020-08-31 06:35:12,528,4,1,1,2,3,1628
2020-08-31 06:35:27,528,4,1,1,2,3,1628
2020-08-31 06:35:42,528,4,1,1,2,3,1628
2020-08-31 06:35:57,528,4,1,1,2,3,1628
2020-08-31 06:36:12,528,4,1,1,2,3,1628
2020-08-31 06:36:27,528,4,1,1,2,3,1628
2020-08-31 06:36:42,528,4,1,1,2,3,1628
2020-08-31 06:36:57,528,4,1,1,2,3,1628
2020-08-31 06:37:12,528,4,1,1,2,3,1628
2020-08-31 06:37:27,528,4,1,1,2,3,1628
2020-08-31 06:37:42,528,4,1,1,2,3,1628
2020-08-31 06:37:57,528,4,1,1,2,3,1628
2020-08-31 06:38:12,528,4,1,1,2,3,1628
2020-08-31 06:38:27,528,4,1,1,2,3,1628
2020-08-31 06:38:42,528,4,1,1,2,3,1628
2020-08-31 06:38:57,528,4,1,1,2,3,1628
2020-08-31 06:39:12,528,4,1,1,2,3,1628
2020-08-31 06:39:27,528,4,1,1,2,3,1628
2020-08-31 06:39:42,528,4,1,1,2,3,1628
2020-08-31 06:39:57,528,4,1,1,2,3,1628
2020-08-31 06:40:12,528,4,1,1,2,3,1628
2020-08-31 06:40:27,528,4,1,1,2,3,1628
2020-08-31 06:40:42,528,4,1,1,2,3,1628
2020-08-31 06:40:57,529,4,1,1,2,3,1628
2020-08-31 06:41:12,529,4,1,1,2,3,1628
2020-08-31 06:41:28,529,4,1,1,2,3,1628
2020-08-31 06:41:42,529,4,1,1,2,3,1628
2020-08-31 06:41:57,529,4,1,1,2,3,1628
2020-08-31 06:42:12,529,4,1,1,2,3,1628
2020-08-31 06:42:27,529,4,1,1,2,3,1628
2020-08-31 06:42:42,529,4,1,1,2,3,1628
2020-08-31 06:42:57,529,4,1,1,2,3,1629
2020-08-31 06:43:12,529,4,1,1,2,3,1629
